,t_stat,p_value_tstat,F_stat,p_value_fstat,mean_FG_sc,mean_RSF_sc,max_FG_sc,max_RSF_sc,SD_FG_Sc,SD_RSF_Sc,samples,seed
2599,1.801861554,0.1314422,2.170932834,0.202940238,0.252505857,0.223053865,0.300131153,0.23628431,0.022747395,0.010450298,300,46208
2600,0.554566588,0.603082044,1.493487239,0.344381554,0.235720606,0.216865876,0.257748235,0.250964138,0.01552152,0.015920606,300,46208
2601,4.27705884,0.007885559,2.174667186,0.202398541,0.229385246,0.21100452,0.263599163,0.228564599,0.017322034,0.008864144,400,46208
2602,0.363839514,0.73085639,2.855310758,0.129200441,0.23371327,0.223182826,0.249465754,0.232811843,0.008850235,0.006067731,400,46208
2603,0.514344643,0.628929906,1.26226081,0.421162464,0.220340105,0.213155721,0.247221592,0.235713506,0.010823197,0.010017114,400,46208
2604,0.997563396,0.364289318,0.482208889,0.847277702,0.22134622,0.216301179,0.247420038,0.226390287,0.015030456,0.006944176,400,46208
2605,2.263183715,0.073059735,1.951277759,0.238558633,0.235319246,0.224349416,0.251119489,0.232625744,0.010960967,0.005766382,400,46208
2606,5.346891963,0.003071952,5.225509367,0.040962002,0.235767112,0.221564716,0.264965782,0.239734508,0.015589512,0.009268961,400,46208
2607,1.834118963,0.126097784,0.79065661,0.649473034,0.223152158,0.215531321,0.235838893,0.223089946,0.007652664,0.003558605,400,46208
2608,4.040568769,0.009917163,4.430512926,0.057061563,0.247782453,0.223534723,0.273457198,0.232787665,0.01777039,0.007712097,400,46208
2609,1.191236322,0.287020227,1.931705988,0.242127059,0.222963341,0.20983954,0.237375754,0.217566412,0.009336817,0.00569355,400,46208
2610,2.568069091,0.050152717,1.381692261,0.37909443,0.232543326,0.215197365,0.260336346,0.223136356,0.014815698,0.005504416,400,46208
2611,0.18883716,0.857646108,0.995448261,0.537141003,0.235576591,0.218285857,0.263183021,0.230701947,0.015702963,0.005862833,400,46208
2612,1.660812132,0.157643163,8.473192831,0.014630121,0.256758237,0.234014333,0.271854326,0.256997865,0.011314034,0.012061348,400,46208
2613,2.02584918,0.098631772,3.743529167,0.079014325,0.240849611,0.223676025,0.257949738,0.234401275,0.013132668,0.008516268,400,46208
2614,11.04410897,0.000105984,20.18191735,0.001988863,0.235966444,0.221956955,0.26032212,0.231407091,0.011069304,0.004089886,400,46208
2615,2.159298039,0.083260793,1.606811726,0.31323323,0.238333713,0.226976704,0.255652374,0.246552289,0.008368768,0.007515992,400,46208
2616,2.976874996,0.030911047,6.472173075,0.026223139,0.236009914,0.214963748,0.261578813,0.226253204,0.017049013,0.010346336,400,46208
2617,2.508197995,0.053946658,1.070079729,0.501362638,0.230730809,0.217006903,0.245893796,0.234849005,0.012331447,0.009730585,400,46208
2618,1.212160154,0.279599636,2.323618106,0.182294423,0.214750925,0.211512496,0.247432393,0.23457003,0.015211635,0.011395469,400,46208
2619,0.43464503,0.681938766,4.167443985,0.064327017,0.24474716,0.229614354,0.277619433,0.254956538,0.021973342,0.014414982,400,46208
2620,2.335883119,0.066720981,3.480133762,0.090569603,0.246781877,0.222544636,0.271855735,0.23963421,0.013865271,0.008592999,400,46208
2621,2.247280125,0.07453073,0.973639681,0.548114182,0.22200935,0.215975827,0.239791718,0.239717676,0.009668186,0.009119581,400,46208
2622,1.055115276,0.339664984,0.681149676,0.717408746,0.216137912,0.211336462,0.240037058,0.222385894,0.012580868,0.00819023,400,46208
2623,2.456998915,0.057440039,6.009471094,0.030666754,0.233238974,0.220364752,0.255775112,0.231943498,0.012167325,0.009594865,400,46208
2624,3.590214071,0.015704513,2.192901932,0.19978127,0.233346795,0.223126986,0.247579935,0.231280403,0.008225679,0.004456602,400,46208
