,t_stat,p_value_tstat,F_stat,p_value_fstat,mean_FG_sc,mean_RSF_sc,max_FG_sc,max_RSF_sc,SD_FG_Sc,SD_RSF_Sc,samples,seed
2905,-5.191499914,0.00349167,19.69603006,0.002107103,0.157630608,0.193655123,0.163981113,0.200355335,0.005075651,0.004516506,3000,46208
2906,-7.403579307,0.000707525,31.29207983,0.000695629,0.151959418,0.18866675,0.158505819,0.196888689,0.004786783,0.004691802,3000,46208
2907,-4.94267689,0.004312102,11.71240566,0.007069981,0.159198745,0.196081087,0.165624932,0.207559688,0.005405879,0.005683293,3000,46208
2908,-5.53698103,0.002636327,13.20381608,0.005369812,0.159922513,0.194926624,0.175707994,0.202749972,0.007714771,0.003932446,3000,46208
2909,-4.575452435,0.005972152,7.558267142,0.018789593,0.158703789,0.192458463,0.164765351,0.201910763,0.004552407,0.004770621,3000,46208
2910,-7.100860739,0.000858274,21.69138605,0.001675661,0.156973226,0.193671489,0.162023147,0.197182176,0.003505021,0.001752205,3000,46208
2911,-8.563861268,0.000357696,37.35941842,0.000452784,0.161529747,0.196171076,0.168374144,0.203789566,0.003113894,0.003762711,3000,46208
2912,-5.643922773,0.002423226,11.73497178,0.007038978,0.154425225,0.191133955,0.160702272,0.199996337,0.004387185,0.004627518,3000,46208
2913,-3.606997436,0.015429109,10.90360494,0.008320173,0.160214875,0.191890816,0.168484435,0.198818301,0.005778981,0.004278785,3000,46208
2914,-11.77324088,7.78E-05,60.38662231,0.000140041,0.151768039,0.190937389,0.155682582,0.196922303,0.002806535,0.003848171,3000,46208
2915,-3.352766213,0.020267445,6.344014685,0.027358848,0.176875652,0.197726054,0.18665293,0.201199791,0.006224318,0.002796059,3000,46208
2916,-5.017666614,0.004043165,18.64965124,0.002397439,0.157743719,0.198018824,0.168226447,0.205308809,0.007659454,0.005808176,3000,46208
2917,-3.835573969,0.012178389,5.283612228,0.040045813,0.159176364,0.1931364,0.168828499,0.198292656,0.008098699,0.002647517,3000,46208
2918,-3.987228845,0.010455248,10.78675829,0.008525863,0.165565668,0.195848655,0.171253432,0.202930833,0.003999625,0.004945798,3000,46208
2919,-5.155357408,0.003598698,17.88192582,0.002647282,0.171554415,0.201203198,0.178415657,0.205832294,0.005310833,0.003115164,3000,46208
2920,-3.136938009,0.025755094,5.282415071,0.040064401,0.160753682,0.196751327,0.172792252,0.200668416,0.00818511,0.003347805,3000,46208
2921,-5.462767603,0.002797181,10.17603514,0.009725602,0.160194702,0.195730033,0.17353116,0.201263541,0.007884399,0.003503792,3000,46208
2922,-4.012832852,0.010192871,11.02682031,0.00811071,0.159334496,0.192208505,0.170134783,0.198561538,0.007464646,0.004097188,3000,46208
2923,-6.650501779,0.001159282,15.62236026,0.003634155,0.151697501,0.188905005,0.155924724,0.194207453,0.003756199,0.003316523,3000,46208
2924,-4.682170605,0.005423016,19.12942981,0.002257788,0.169484433,0.195662825,0.175439788,0.203875019,0.003952169,0.005105364,3000,46208
2925,-4.135930786,0.009032705,7.342244359,0.020009187,0.167393913,0.197573422,0.184194922,0.204376877,0.008053378,0.003656543,3000,46208
2926,-20.99283918,4.54E-06,215.8060246,5.99E-06,0.157953088,0.194755954,0.163433682,0.198884954,0.004223599,0.00328788,3000,46208
2927,-4.648716841,0.005588584,16.48346461,0.003205468,0.161381126,0.1960818,0.173448812,0.206594562,0.006268616,0.006027529,3000,46208
2928,-4.235912298,0.008201653,10.58377025,0.008900456,0.169664878,0.196975985,0.183124568,0.205132813,0.006937996,0.003898921,3000,46208
2929,-7.64720659,0.000608612,24.77898519,0.001219554,0.159577018,0.191995197,0.169690701,0.198362652,0.005600824,0.003783485,3000,46208
2930,-3.058893724,0.028137467,4.426779058,0.057156513,0.157472143,0.190233318,0.168271989,0.196780692,0.007866274,0.004543506,3000,46208
2931,-3.695494033,0.014065081,11.98956903,0.006701995,0.156269444,0.194166635,0.174659829,0.203576544,0.010232206,0.004845111,3000,46208
2932,-6.420041284,0.001361022,20.3696273,0.001945666,0.162409329,0.195593153,0.170229029,0.201730064,0.00523189,0.002995153,3000,46208
2933,-10.22038428,0.000153965,51.04429319,0.000211471,0.157459177,0.198416582,0.166818411,0.210926828,0.007875942,0.007239575,3000,46208
2934,-8.231885979,0.000431003,32.09702887,0.000654208,0.158994961,0.196829861,0.166637078,0.205672729,0.005745939,0.005675752,3000,46208
2935,-8.733440141,0.000326007,39.36820866,0.000398649,0.161360091,0.197405868,0.169307878,0.204024504,0.005354953,0.003822941,3000,46208
2936,-12.07401468,6.88E-05,77.06270249,7.68E-05,0.152740753,0.190142139,0.160969571,0.193854584,0.005214043,0.003546276,3000,46208
2937,-6.294441161,0.001488346,14.91938304,0.004045981,0.159436528,0.191822597,0.171295914,0.207138782,0.005650908,0.006973947,3000,46208
2938,-7.789264701,0.000558512,22.0957848,0.001603559,0.154368027,0.190854187,0.16368592,0.196607362,0.005867409,0.003555946,3000,46208
2939,-6.956966574,0.000943123,31.96385766,0.000660818,0.148978471,0.185960846,0.159913804,0.192246545,0.005323949,0.004204902,3000,46208
2940,-4.197929409,0.008506512,9.629860591,0.011008297,0.16512525,0.197555635,0.175945614,0.201092214,0.005893276,0.002193359,3000,46208
2941,-2.82864102,0.03673336,8.411494785,0.014867783,0.157755736,0.1869712,0.161617559,0.192450669,0.003041837,0.003453863,3000,46208
2942,-9.259068609,0.000246983,42.22948987,0.000336037,0.153308586,0.195373994,0.164885559,0.20635692,0.005782296,0.005226192,3000,46208
